GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B3P001,B3P002,B3P003,B3P004,B3P005,B3P006,B3P007,B3P008
"G3000090","1950","Montana","300","Carbon","0090","Carbon",4652,687,1,7,4298,592,0,4
"G3000110","1950","Montana","300","Carter","0110","Carter",1487,57,0,0,1214,37,3,0
"G3000130","1950","Montana","300","Cascade","0130","Cascade",24720,2298,141,307,23239,1995,80,247
"G3000150","1950","Montana","300","Chouteau","0150","Chouteau",3469,272,0,67,2936,169,1,60
"G3000170","1950","Montana","300","Custer","0170","Custer",6005,476,17,64,5680,376,12,31
"G3000190","1950","Montana","300","Daniels","0190","Daniels",1894,216,1,2,1632,199,0,2
"G3000210","1950","Montana","300","Dawson","0210","Dawson",4288,416,2,2,4084,300,0,0
"G3000230","1950","Montana","300","Deer Lodge","0230","Deer Lodge",7461,1159,51,33,6912,879,37,21
"G3000250","1950","Montana","300","Fallon","0250","Fallon",1792,149,0,1,1599,119,0,0
"G3000270","1950","Montana","300","Fergus","0270","Fergus",6771,527,9,29,6238,408,11,22
"G3000290","1950","Montana","300","Flathead","0290","Flathead",15327,1096,29,89,14047,829,25,53
"G3000310","1950","Montana","300","Gallatin","0310","Gallatin",10966,573,6,23,9899,420,10,5
"G3000330","1950","Montana","300","Garfield","0330","Garfield",1126,97,0,0,900,49,0,0
"G3000350","1950","Montana","300","Glacier","0350","Glacier",2966,236,8,1826,2630,194,14,1771
"G3000370","1950","Montana","300","Golden Valley","0370","Golden Valley",660,66,1,5,567,32,1,5
"G3000390","1950","Montana","300","Granite","0390","Granite",1433,112,0,11,1138,73,0,6
"G3000410","1950","Montana","300","Hill","0410","Hill",6214,588,19,513,6005,453,11,482
"G3000430","1950","Montana","300","Jefferson","0430","Jefferson",1930,173,4,12,1783,98,2,12
"G3000450","1950","Montana","300","Judith Basin","0450","Judith Basin",1667,110,1,2,1336,83,0,1
"G3000470","1950","Montana","300","Lake","0470","Lake",5964,407,7,834,5542,328,8,745
"G3000490","1950","Montana","300","Lewis And Clark","0490","Lewis And Clark",11204,860,54,199,11306,701,42,174
"G3000510","1950","Montana","300","Liberty","0510","Liberty",1122,109,0,6,875,59,0,9
"G3000530","1950","Montana","300","Lincoln","0530","Lincoln",4356,302,3,4,3811,211,0,6
"G3000550","1950","Montana","300","McCone","0550","Mccone",1680,166,1,0,1337,74,0,0
"G3000570","1950","Montana","300","Madison","0570","Madison",3102,193,5,4,2579,112,0,3
"G3000590","1950","Montana","300","Meagher","0590","Meagher",1125,122,1,0,788,42,1,0
"G3000610","1950","Montana","300","Mineral","0610","Mineral",1067,67,0,0,904,43,0,0
"G3000630","1950","Montana","300","Missoula","0630","Missoula",16831,1207,30,129,16208,944,22,122
"G3000650","1950","Montana","300","Musselshell","0650","Musselshell",2468,423,0,2,2232,276,5,2
"G3000670","1950","Montana","300","Park","0670","Park",5841,384,5,31,5457,268,6,7
"G3000690","1950","Montana","300","Petroleum","0690","Petroleum",538,50,0,0,419,19,0,0
"G3000710","1950","Montana","300","Phillips","0710","Phillips",2936,331,9,185,2480,232,3,158
"G3000730","1950","Montana","300","Pondera","0730","Pondera",3000,205,2,131,2757,160,0,137
"G3000750","1950","Montana","300","Powder River","0750","Powder River",1397,87,1,1,1156,51,0,0
"G3000770","1950","Montana","300","Powell","0770","Powell",3231,276,12,71,2536,170,2,3
"G3000790","1950","Montana","300","Prairie","0790","Prairie",1119,121,1,0,1022,114,0,0
"G3000810","1950","Montana","300","Ravalli","0810","Ravalli",6380,413,2,41,5944,286,4,31
"G3000830","1950","Montana","300","Richland","0830","Richland",4932,463,1,4,4644,320,1,1
"G3000850","1950","Montana","300","Roosevelt","0850","Roosevelt",3807,314,19,893,3464,212,18,853
"G3000870","1950","Montana","300","Rosebud","0870","Rosebud",2632,240,33,655,2224,132,38,616
"G3000890","1950","Montana","300","Sanders","0890","Sanders",3272,232,6,222,2854,158,7,232
"G3000910","1950","Montana","300","Sheridan","0910","Sheridan",3141,425,15,21,2706,326,12,28
"G3000930","1950","Montana","300","Silver Bow","0930","Silver Bow",21476,3049,47,129,20976,2649,29,67
"G3000950","1950","Montana","300","Stillwater","0950","Stillwater",2629,223,4,1,2399,155,1,4
"G3000970","1950","Montana","300","Sweet Grass","0970","Sweet Grass",1711,240,0,0,1532,137,1,0
"G3000990","1950","Montana","300","Teton","0990","Teton",3520,316,2,14,3127,230,1,22
"G3001010","1950","Montana","300","Toole","1010","Toole",3425,276,2,18,2907,229,1,9
"G3001030","1950","Montana","300","Treasure","1030","Treasure",713,62,0,2,589,36,0,0
"G3001050","1950","Montana","300","Valley","1050","Valley",5240,496,4,272,4732,346,1,262
"G3001070","1950","Montana","300","Wheatland","1070","Wheatland",1599,158,0,1,1343,85,0,1
"G3001090","1950","Montana","300","Wibaux","1090","Wibaux",955,56,0,1,842,52,1,0
"G3001110","1950","Montana","300","Yellowstone","1110","Yellowstone",25926,1911,111,147,25950,1616,98,116
"G3001130","1950","Montana","300","Yellowstone National Park","1130","Yellowstone National Park",38,2,0,0,17,1,0,0
"G3100010","1950","Nebraska","310","Adams","0010","Adams",13452,604,86,21,14066,542,77,7
"G3100030","1950","Nebraska","310","Antelope","0030","Antelope",5731,209,5,1,5524,153,1,0
"G3100050","1950","Nebraska","310","Arthur","0050","Arthur",437,8,0,0,350,8,0,0
"G3100070","1950","Nebraska","310","Banner","0070","Banner",698,25,1,5,584,9,0,3
"G3100090","1950","Nebraska","310","Blaine","0090","Blaine",638,4,0,0,551,10,0,0
"G3100110","1950","Nebraska","310","Boone","0110","Boone",5386,218,2,2,4953,160,0,0
"G3100130","1950","Nebraska","310","Box Butte","0130","Box Butte",5782,235,25,159,5708,187,26,157
"G3100150","1950","Nebraska","310","Boyd","0150","Boyd",2404,112,0,3,2269,121,0,2
"G3100170","1950","Nebraska","310","Brown","0170","Brown",2569,56,1,10,2457,57,0,14
"G3100190","1950","Nebraska","310","Buffalo","0190","Buffalo",12201,393,18,34,12089,367,11,21
"G3100210","1950","Nebraska","310","Burt","0210","Burt",5616,264,0,7,5407,237,3,2
"G3100230","1950","Nebraska","310","Butler","0230","Butler",5596,292,2,0,5249,293,0,0
"G3100250","1950","Nebraska","310","Cass","0250","Cass",7983,287,19,5,7797,258,1,11
"G3100270","1950","Nebraska","310","Cedar","0270","Cedar",6873,336,1,2,6379,252,0,0
"G3100290","1950","Nebraska","310","Chase","0290","Chase",2603,40,6,5,2470,49,2,1
"G3100310","1950","Nebraska","310","Cherry","0310","Cherry",4258,99,7,52,3842,84,4,51
"G3100330","1950","Nebraska","310","Cheyenne","0330","Cheyenne",6008,216,35,17,5608,162,22,13
"G3100350","1950","Nebraska","310","Clay","0350","Clay",4168,249,2,1,4049,231,0,0
"G3100370","1950","Nebraska","310","Colfax","0370","Colfax",4693,384,3,0,4606,321,3,0
"G3100390","1950","Nebraska","310","Cuming","0390","Cuming",6366,303,0,0,6061,260,3,1
"G3100410","1950","Nebraska","310","Custer","0410","Custer",9642,219,5,1,9107,191,4,1
"G3100430","1950","Nebraska","310","Dakota","0430","Dakota",5072,174,63,30,4838,126,65,33
"G3100450","1950","Nebraska","310","Dawes","0450","Dawes",4685,129,9,80,4598,106,6,95
"G3100470","1950","Nebraska","310","Dawson","0470","Dawson",9523,284,22,20,9268,251,12,13
"G3100490","1950","Nebraska","310","Deuel","0490","Deuel",1684,58,0,1,1545,42,0,0
"G3100510","1950","Nebraska","310","Dixon","0510","Dixon",4564,208,0,0,4196,160,1,0
"G3100530","1950","Nebraska","310","Dodge","0530","Dodge",12379,588,6,10,12770,500,5,7
"G3100550","1950","Nebraska","310","Douglas","0550","Douglas",119660,9597,8163,338,125579,9098,8309,276
"G3100570","1950","Nebraska","310","Dundy","0570","Dundy",2179,36,0,0,2114,25,0,0
"G3100590","1950","Nebraska","310","Fillmore","0590","Fillmore",4553,177,3,2,4696,154,17,8
"G3100610","1950","Nebraska","310","Franklin","0610","Franklin",3553,121,0,1,3305,115,1,0
"G3100630","1950","Nebraska","310","Frontier","0630","Frontier",2652,94,1,1,2459,75,0,0
"G3100650","1950","Nebraska","310","Furnas","0650","Furnas",4642,80,1,0,4581,79,1,1
"G3100670","1950","Nebraska","310","Gage","0670","Gage",13456,429,23,5,13686,431,17,5
"G3100690","1950","Nebraska","310","Garden","0690","Garden",2072,61,0,0,1936,43,0,2
"G3100710","1950","Nebraska","310","Garfield","0710","Garfield",1457,40,2,0,1384,29,0,0
"G3100730","1950","Nebraska","310","Gosper","0730","Gosper",1397,32,2,0,1274,29,0,0
"G3100750","1950","Nebraska","310","Grant","0750","Grant",547,16,0,1,488,5,0,0
"G3100770","1950","Nebraska","310","Greeley","0770","Greeley",2942,80,0,0,2480,73,0,0
"G3100790","1950","Nebraska","310","Hall","0790","Hall",15155,499,43,3,15927,509,41,9
"G3100810","1950","Nebraska","310","Hamilton","0810","Hamilton",4274,199,5,2,4160,136,2,0
"G3100830","1950","Nebraska","310","Harlan","0830","Harlan",3664,72,4,1,3382,61,5,0
"G3100850","1950","Nebraska","310","Hayes","0850","Hayes",1238,23,0,0,1133,10,0,0
"G3100870","1950","Nebraska","310","Hitchcock","0870","Hitchcock",2897,99,2,1,2761,103,4,0
"G3100890","1950","Nebraska","310","Holt","0890","Holt",7408,194,1,1,7083,172,0,0
"G3100910","1950","Nebraska","310","Hooker","0910","Hooker",545,8,0,0,503,5,0,0
"G3100930","1950","Nebraska","310","Howard","0930","Howard",3597,213,1,0,3225,190,0,0
"G3100950","1950","Nebraska","310","Jefferson","0950","Jefferson",6499,245,3,0,6681,193,2,0
"G3100970","1950","Nebraska","310","Johnson","0970","Johnson",3549,135,0,0,3449,118,0,0
"G3100990","1950","Nebraska","310","Kearney","0990","Kearney",3016,206,3,0,3007,175,2,0
"G3101010","1950","Nebraska","310","Keith","1010","Keith",3755,120,5,2,3462,104,1,0
"G3101030","1950","Nebraska","310","Keya Paha","1030","Keya Paha",1116,22,0,0,1007,15,0,0
"G3101050","1950","Nebraska","310","Kimball","1050","Kimball",2119,118,1,4,1970,65,1,5
"G3101070","1950","Nebraska","310","Knox","1070","Knox",7149,456,3,180,6479,363,2,188
"G3101090","1950","Nebraska","310","Lancaster","1090","Lancaster",55136,2568,796,122,57868,2507,671,74
"G3101110","1950","Nebraska","310","Lincoln","1110","Lincoln",13478,366,37,68,13047,305,31,48
"G3101130","1950","Nebraska","310","Logan","1130","Logan",707,19,0,0,623,8,0,0
"G3101150","1950","Nebraska","310","Loup","1150","Loup",694,14,1,0,631,7,1,0
"G3101170","1950","Nebraska","310","McPherson","1170","Mcpherson",412,7,0,0,404,2,0,0
"G3101190","1950","Nebraska","310","Madison","1190","Madison",11405,578,15,21,11756,530,13,20
"G3101210","1950","Nebraska","310","Merrick","1210","Merrick",4338,143,1,1,4219,108,2,0
"G3101230","1950","Nebraska","310","Morrill","1230","Morrill",3971,334,3,1,3694,257,2,1
"G3101250","1950","Nebraska","310","Nance","1250","Nance",3292,126,0,0,3001,93,0,0
"G3101270","1950","Nebraska","310","Nemaha","1270","Nemaha",5431,91,2,4,5342,99,4,0
"G3101290","1950","Nebraska","310","Nuckolls","1290","Nuckolls",4752,175,5,2,4535,137,3,0
"G3101310","1950","Nebraska","310","Otoe","1310","Otoe",8280,253,10,3,8242,249,18,1
"G3101330","1950","Nebraska","310","Pawnee","1330","Pawnee",3376,98,0,0,3177,92,0,1
"G3101350","1950","Nebraska","310","Perkins","1350","Perkins",2461,66,0,0,2234,48,0,0
"G3101370","1950","Nebraska","310","Phelps","1370","Phelps",4310,215,2,3,4315,200,1,2
"G3101390","1950","Nebraska","310","Pierce","1390","Pierce",4635,226,0,6,4341,192,0,5
"G3101410","1950","Nebraska","310","Platte","1410","Platte",9552,500,4,0,9435,419,0,0
"G3101430","1950","Nebraska","310","Polk","1430","Polk",3905,204,3,2,3744,178,2,6
"G3101450","1950","Nebraska","310","Red Willow","1450","Red Willow",6241,184,4,5,6353,186,2,2
"G3101470","1950","Nebraska","310","Richardson","1470","Richardson",8282,139,16,27,8250,127,20,25
"G3101490","1950","Nebraska","310","Rock","1490","Rock",1557,24,0,0,1421,24,0,0
"G3101510","1950","Nebraska","310","Saline","1510","Saline",6744,413,1,3,6544,337,0,4
"G3101530","1950","Nebraska","310","Sarpy","1530","Sarpy",8256,350,125,7,6602,311,37,5
"G3101550","1950","Nebraska","310","Saunders","1550","Saunders",8298,446,1,4,7827,346,1,0
"G3101570","1950","Nebraska","310","Scotts Bluff","1570","Scotts Bluff",15561,1257,39,237,15534,1082,49,180
"G3101590","1950","Nebraska","310","Seward","1590","Seward",6498,212,5,6,6220,203,4,7
"G3101610","1950","Nebraska","310","Sheridan","1610","Sheridan",4600,141,2,139,4383,126,0,148
"G3101630","1950","Nebraska","310","Sherman","1630","Sherman",3196,118,0,2,2999,105,0,1
"G3101650","1950","Nebraska","310","Sioux","1650","Sioux",1580,50,0,2,1444,46,0,2
"G3101670","1950","Nebraska","310","Stanton","1670","Stanton",3128,189,0,1,2940,128,1,0
"G3101690","1950","Nebraska","310","Thayer","1690","Thayer",5134,196,1,3,5060,168,1,0
"G3101710","1950","Nebraska","310","Thomas","1710","Thomas",610,15,0,0,568,13,0,0
"G3101730","1950","Nebraska","310","Thurston","1730","Thurston",3439,158,2,920,3083,99,5,884
"G3101750","1950","Nebraska","310","Valley","1750","Valley",3537,182,2,2,3375,152,0,2
"G3101770","1950","Nebraska","310","Washington","1770","Washington",5563,271,12,1,5443,215,5,1
"G3101790","1950","Nebraska","310","Wayne","1790","Wayne",4999,251,3,1,4671,203,0,1
"G3101810","1950","Nebraska","310","Webster","1810","Webster",3648,105,1,0,3566,74,0,1
"G3101830","1950","Nebraska","310","Wheeler","1830","Wheeler",820,14,0,0,687,5,0,0
"G3101850","1950","Nebraska","310","York","1850","York",6876,170,16,0,7121,146,17,0
"G3200010","1950","Nevada","320","Churchill","0010","Churchill",2899,234,6,167,2561,146,4,144
"G3200030","1950","Nevada","320","Clark","0030","Clark",22755,1065,1653,300,19974,809,1521,212
"G3200050","1950","Nevada","320","Douglas","0050","Douglas",833,149,2,150,689,72,1,133
"G3200070","1950","Nevada","320","Elko","0070","Elko",5169,620,88,628,4287,255,65,542
"G3200090","1950","Nevada","320","Esmeralda","0090","Esmeralda",312,44,1,2,225,22,0,8
"G3200110","1950","Nevada","320","Eureka","0110","Eureka",416,87,7,40,278,37,3,28
"G3200130","1950","Nevada","320","Humboldt","0130","Humboldt",2125,308,35,208,1803,147,27,185
"G3200150","1950","Nevada","320","Lander","0150","Lander",841,147,11,79,629,43,2,98
"G3200170","1950","Nevada","320","Lincoln","0170","Lincoln",1933,74,4,44,1716,38,5,23
"G3200190","1950","Nevada","320","Lyon","0190","Lyon",1579,247,6,142,1440,126,2,137
"G3200210","1950","Nevada","320","Mineral","0210","Mineral",2478,100,140,231,2181,53,142,235
"G3200230","1950","Nevada","320","Nye","0230","Nye",1329,143,7,184,1130,95,5,208
"G3200250","1950","Nevada","320","Ormsby","0250","Ormsby",1911,116,34,148,1757,68,1,137
"G3200270","1950","Nevada","320","Pershing","0270","Pershing",1421,273,6,90,1139,96,6,72
"G3200290","1950","Nevada","320","Storey","0290","Storey",295,52,0,7,278,24,0,15
"G3200310","1950","Nevada","320","Washoe","0310","Washoe",22511,2259,250,563,22162,1708,233,519
"G3200330","1950","Nevada","320","White Pine","0330","White Pine",4375,561,18,105,3947,312,17,89
"G3300010","1950","New Hampshire","330","Belknap","0010","Belknap",11887,1088,14,5,12342,1276,17,3
"G3300030","1950","New Hampshire","330","Carroll","0030","Carroll",7526,385,12,6,7454,479,6,0
"G3300050","1950","New Hampshire","330","Cheshire","0050","Cheshire",17751,1444,21,8,18069,1480,26,12
"G3300070","1950","New Hampshire","330","Coos","0070","Coos",15182,2844,7,3,15242,2646,7,1
"G3300090","1950","New Hampshire","330","Grafton","0090","Grafton",23307,1716,29,23,21173,1645,21,9
"G3300110","1950","New Hampshire","330","Hillsborough","0110","Hillsborough",64603,11066,133,46,68065,12953,98,23
"G3300130","1950","New Hampshire","330","Merrimack","0130","Merrimack",27683,2608,39,19,29451,3182,35,5
"G3300150","1950","New Hampshire","330","Rockingham","0150","Rockingham",31489,2744,104,29,32324,3245,113,11
"G3300170","1950","New Hampshire","330","Strafford","0170","Strafford",23299,2167,19,20,23592,2453,8,9
"G3300190","1950","New Hampshire","330","Sullivan","0190","Sullivan",11790,1292,13,3,11912,1421,9,1
"G3400010","1950","New Jersey","340","Atlantic","0010","Atlantic",46565,6844,10168,67,50500,6876,11338,41
"G3400030","1950","New Jersey","340","Bergen","0030","Bergen",219095,37528,5079,198,232448,38867,5820,104
"G3400050","1950","New Jersey","340","Burlington","0050","Burlington",65181,4104,6695,105,51533,4016,4231,45
"G3400070","1950","New Jersey","340","Camden","0070","Camden",124990,11299,11074,148,130386,11200,11551,95
"G3400090","1950","New Jersey","340","Cape May","0090","Cape May",16163,1434,1411,16,15300,1313,1484,10
"G3400110","1950","New Jersey","340","Cumberland","0110","Cumberland",33807,3880,4405,650,37032,3814,4421,588
"G3400130","1950","New Jersey","340","Essex","0130","Essex",322771,63985,49124,670,349374,64536,55183,306
"G3400150","1950","New Jersey","340","Gloucester","0150","Gloucester",38304,3004,4466,32,38953,2739,4218,11
"G3400170","1950","New Jersey","340","Hudson","0170","Hudson",252394,54489,11385,331,262748,53548,12395,147
"G3400190","1950","New Jersey","340","Hunterdon","0190","Hunterdon",18922,2276,483,11,18483,2156,400,5
"G3400210","1950","New Jersey","340","Mercer","0210","Mercer",91082,13543,10411,122,91101,13428,10016,78
"G3400230","1950","New Jersey","340","Middlesex","0230","Middlesex",108364,19857,5176,122,107498,19279,4509,67
"G3400250","1950","New Jersey","340","Monmouth","0250","Monmouth",90593,11103,9985,249,91375,11511,10430,81
"G3400270","1950","New Jersey","340","Morris","0270","Morris",69799,8588,1964,68,73068,8713,2144,27
"G3400290","1950","New Jersey","340","Ocean","0290","Ocean",24320,3433,800,53,23696,3557,736,27
"G3400310","1950","New Jersey","340","Passaic","0310","Passaic",126939,31868,5671,166,134057,32001,6320,71
"G3400330","1950","New Jersey","340","Salem","0330","Salem",20513,1185,3264,41,20498,1062,2940,5
"G3400350","1950","New Jersey","340","Somerset","0350","Somerset",42615,6488,1693,50,40686,6062,1418,40
"G3400370","1950","New Jersey","340","Sussex","0370","Sussex",15778,1548,61,16,15667,1293,55,5
"G3400390","1950","New Jersey","340","Union","0390","Union",155298,27013,12055,203,163229,26990,13261,89
"G3400410","1950","New Jersey","340","Warren","0410","Warren",24621,2274,184,15,25078,2057,141,4
"G3500010","1950","New Mexico","350","Bernalillo","0010","Bernalillo",69844,1712,851,1292,68327,1629,754,1264
"G3500030","1950","New Mexico","350","Catron","0030","Catron",1906,16,0,5,1584,18,2,2
"G3500050","1950","New Mexico","350","Chaves","0050","Chaves",20261,348,577,35,18592,333,440,19
"G3500070","1950","New Mexico","350","Colfax","0070","Colfax",7978,491,32,5,7885,333,34,3
"G3500090","1950","New Mexico","350","Curry","0090","Curry",11296,129,285,28,11160,100,347,6
"G3500110","1950","New Mexico","350","De Baca","0110","De Baca",1760,9,1,0,1678,16,0,0
"G3500130","1950","New Mexico","350","Dona Ana","0130","Dona Ana",17878,2237,462,53,16840,1636,422,29
"G3500150","1950","New Mexico","350","Eddy","0150","Eddy",19376,737,527,12,18902,546,528,12
"G3500170","1950","New Mexico","350","Grant","0170","Grant",10204,601,82,46,9988,643,48,37
"G3500190","1950","New Mexico","350","Guadalupe","0190","Guadalupe",3443,37,3,0,3259,26,2,2
"G3500210","1950","New Mexico","350","Harding","0210","Harding",1546,20,2,1,1432,11,1,0
"G3500230","1950","New Mexico","350","Hidalgo","0230","Hidalgo",2337,245,9,23,2272,188,7,14
"G3500250","1950","New Mexico","350","Lea","0250","Lea",14896,154,847,12,13854,90,853,11
"G3500270","1950","New Mexico","350","Lincoln","0270","Lincoln",3805,119,10,20,3364,60,18,13
"G3500280","1950","New Mexico","350","Los Alamos","0280","Los Alamos",5301,97,7,13,4942,96,5,15
"G3500290","1950","New Mexico","350","Luna","0290","Luna",3868,402,120,8,3996,256,95,8
"G3500310","1950","New Mexico","350","McKinley","0310","Mckinley",4571,487,111,8577,4838,375,139,8353
"G3500330","1950","New Mexico","350","Mora","0330","Mora",4486,22,2,0,4196,12,2,0
"G3500350","1950","New Mexico","350","Otero","0350","Otero",6974,227,222,509,6095,229,145,508
"G3500370","1950","New Mexico","350","Quay","0370","Quay",7083,88,47,2,6633,73,40,5
"G3500390","1950","New Mexico","350","Rio Arriba","0390","Rio Arriba",11831,48,13,675,11695,32,12,691
"G3500410","1950","New Mexico","350","Roosevelt","0410","Roosevelt",8319,21,7,6,8016,32,7,1
"G3500430","1950","New Mexico","350","Sandoval","0430","Sandoval",4022,75,2,2290,3890,39,3,2117
"G3500450","1950","New Mexico","350","San Juan","0450","San Juan",4851,80,9,4367,4627,80,10,4268
"G3500470","1950","New Mexico","350","San Miguel","0470","San Miguel",12888,495,21,15,12929,136,21,7
"G3500490","1950","New Mexico","350","Santa Fe","0490","Santa Fe",17825,372,102,826,17877,292,50,809
"G3500510","1950","New Mexico","350","Sierra","0510","Sierra",3449,118,4,6,3524,79,4,2
"G3500530","1950","New Mexico","350","Socorro","0530","Socorro",4770,95,10,165,4393,58,6,173
"G3500550","1950","New Mexico","350","Taos","0550","Taos",8005,55,3,511,8023,38,2,509
"G3500570","1950","New Mexico","350","Torrance","0570","Torrance",4103,30,4,0,3850,20,4,1
"G3500590","1950","New Mexico","350","Union","0590","Union",3717,34,1,1,3582,35,2,0
"G3500610","1950","New Mexico","350","Valencia","0610","Valencia",9245,118,21,2090,8794,106,11,2096
"G3600010","1950","New York","360","Albany","0010","Albany",102217,10677,2988,103,109959,10247,3136,59
"G3600030","1950","New York","360","Allegany","0030","Allegany",21444,450,79,10,21282,451,63,5
"G3600050","1950","New York","360","Bronx","0050","Bronx",475745,181876,44763,1203,502023,192018,52989,660
"G3600070","1950","New York","360","Broome","0070","Broome",81456,7979,429,34,87171,7193,420,16
"G3600090","1950","New York","360","Cattaraugus","0090","Cattaraugus",36708,2019,151,495,36026,1832,172,498
"G3600110","1950","New York","360","Cayuga","0110","Cayuga",31543,2908,800,20,31943,2707,207,8
"G3600130","1950","New York","360","Chautauqua","0130","Chautauqua",58565,7126,395,36,62376,6295,360,36
"G3600150","1950","New York","360","Chemung","0150","Chemung",39472,1929,1224,32,41668,1852,622,28
"G3600170","1950","New York","360","Chenango","0170","Chenango",18353,857,89,9,19041,696,89,4
"G3600190","1950","New York","360","Clinton","0190","Clinton",26008,1354,798,22,24181,1229,27,3
"G3600210","1950","New York","360","Columbia","0210","Columbia",18847,2105,475,9,19223,1932,589,2
"G3600230","1950","New York","360","Cortland","0230","Cortland",17282,894,39,9,18076,821,27,10
"G3600250","1950","New York","360","Delaware","0250","Delaware",21197,1094,55,4,20996,1032,38,4
"G3600270","1950","New York","360","Dutchess","0270","Dutchess",56435,7606,3005,65,59776,7350,2516,28
"G3600290","1950","New York","360","Erie","0290","Erie",370274,49960,20120,1372,388038,47940,20232,1302
"G3600310","1950","New York","360","Essex","0310","Essex",16662,769,58,12,16728,788,57,12
"G3600330","1950","New York","360","Franklin","0330","Franklin",20321,1470,71,796,19989,1453,39,691
"G3600350","1950","New York","360","Fulton","0350","Fulton",22535,2126,149,6,23842,2203,155,5
"G3600370","1950","New York","360","Genesee","0370","Genesee",21269,1934,231,210,21776,1750,205,209
"G3600390","1950","New York","360","Greene","0390","Greene",12535,1552,581,7,12383,1389,295,3
"G3600410","1950","New York","360","Hamilton","0410","Hamilton",2028,66,1,1,1930,79,0,0
"G3600430","1950","New York","360","Herkimer","0430","Herkimer",27401,3047,21,15,28038,2864,16,5
"G3600450","1950","New York","360","Jefferson","0450","Jefferson",38571,3177,65,28,40252,3351,59,18
"G3600470","1950","New York","360","Kings","0470","Kings",921764,314333,94954,2979,972828,316193,113524,1600
"G3600490","1950","New York","360","Lewis","0490","Lewis",11114,548,6,3,10332,507,6,5
"G3600510","1950","New York","360","Livingston","0510","Livingston",18392,1125,356,19,19069,1011,272,13
"G3600530","1950","New York","360","Madison","0530","Madison",22405,1160,121,32,21339,1029,108,20
"G3600550","1950","New York","360","Monroe","0550","Monroe",199928,31098,4007,184,217416,30943,3930,126
"G3600570","1950","New York","360","Montgomery","0570","Montgomery",25184,4046,144,12,26220,3865,116,7
"G3600590","1950","New York","360","Nassau","0590","Nassau",282000,40237,6949,522,291331,41440,10006,280
"G3600610","1950","New York","360","New York","0610","New York",522719,228221,172961,13937,572778,232881,211521,5083
"G3600630","1950","New York","360","Niagara","0630","Niagara",79488,13270,2010,425,79548,12926,1907,418
"G3600650","1950","New York","360","Oneida","0650","Oneida",95936,12740,1260,64,99842,11799,1157,57
"G3600670","1950","New York","360","Onondaga","0670","Onondaga",149473,16271,2492,721,154347,15353,2404,658
"G3600690","1950","New York","360","Ontario","0690","Ontario",28394,2047,255,22,27547,1683,212,12
"G3600710","1950","New York","360","Orange","0710","Orange",65767,8003,2935,64,65832,7348,2293,13
"G3600730","1950","New York","360","Orleans","0730","Orleans",13515,1248,105,7,13591,1149,214,3
"G3600750","1950","New York","360","Oswego","0750","Oswego",36142,2096,57,4,36857,1951,68,6
"G3600770","1950","New York","360","Otsego","0770","Otsego",23333,1390,69,19,24535,1345,60,12
"G3600790","1950","New York","360","Putnam","0790","Putnam",8713,1469,46,11,8660,1368,38,2
"G3600810","1950","New York","360","Queens","0810","Queens",583329,142021,23490,1311,625600,146176,28034,888
"G3600830","1950","New York","360","Rensselaer","0830","Rensselaer",59674,4907,579,60,61909,4857,600,21
"G3600850","1950","New York","360","Richmond","0850","Richmond",77679,15667,2663,173,77770,14820,2709,74
"G3600870","1950","New York","360","Rockland","0870","Rockland",36032,5378,2250,77,37195,6063,2233,48
"G3600890","1950","New York","360","St Lawrence","0890","St Lawrence",46375,3293,29,60,45445,3634,13,48
"G3600910","1950","New York","360","Saratoga","0910","Saratoga",33507,2772,344,15,35302,2571,350,8
"G3600930","1950","New York","360","Schenectady","0930","Schenectady",60914,8724,760,38,63163,8161,719,18
"G3600950","1950","New York","360","Schoharie","0950","Schoharie",10686,789,51,11,10401,718,43,4
"G3600970","1950","New York","360","Schuyler","0970","Schuyler",6840,330,34,1,6661,286,29,1
"G3600990","1950","New York","360","Seneca","0990","Seneca",12963,1369,107,14,13507,1187,101,5
"G3601010","1950","New York","360","Steuben","1010","Steuben",44171,2064,283,35,43180,1516,172,18
"G3601030","1950","New York","360","Suffolk","1030","Suffolk",108360,21857,6543,308,109905,22415,6577,164
"G3601050","1950","New York","360","Sullivan","1050","Sullivan",17723,3113,541,23,16367,2783,173,8
"G3601070","1950","New York","360","Tioga","1070","Tioga",14285,653,94,5,14466,580,83,0
"G3601090","1950","New York","360","Tompkins","1090","Tompkins",28422,1749,499,134,26150,1637,500,31
"G3601110","1950","New York","360","Ulster","1110","Ulster",39787,4685,1529,32,41325,4405,842,16
"G3601130","1950","New York","360","Warren","1130","Warren",17888,990,65,21,19188,994,51,8
"G3601150","1950","New York","360","Washington","1150","Washington",22251,1160,439,21,22125,1104,40,4
"G3601170","1950","New York","360","Wayne","1170","Wayne",25933,2138,245,12,26830,1958,183,24
"G3601190","1950","New York","360","Westchester","1190","Westchester",233746,47211,17007,400,257285,48858,21054,255
"G3601210","1950","New York","360","Wyoming","1210","Wyoming",15960,928,555,34,14577,729,26,13
"G3601230","1950","New York","360","Yates","1230","Yates",8098,320,48,14,8768,319,41,7
"G3700010","1950","North Carolina","370","Alamance","0010","Alamance",28353,157,6514,16,29394,134,6645,7
